"Timestamp","im_UtilizationIn"
1510260300,24.8165130666667
1510260600,23.752728
1510260900,26.0448826666667
1510261200,24.4505466666667
1510261500,22.8246965333333
1510261800,28.2357472
1510262100,21.9699834666667
1510262400,29.4521834666667
1510262700,24.5746005333333
1510263000,25.7680293333333
1510263300,21.1630037333333
1510263600,28.9881109333333
1510263900,20.1762602666667
1510264200,25.1092229333333
1510264500,24.2618517333333
1510264800,27.0939658666667
1510265100,27.8262906666667
1510265400,25.8339968
1510265700,19.6313274666667
1510266000,30.242552
1510266300,19.5830394666667
1510266600,29.4419685333333
1510266900,24.1418501333333
1510267200,26.7818853333333
1510267500,22.2601066666667
1510267800,25.9080789333333
1510268100,25.8478394666667
1510268400,20.7905882666667
1510268700,28.8255402666667
1510269000,24.6776090666667
1510269300,22.5657909333333
1510269600,24.8934592
1510269900,29.1765712
1510270200,25.3192405333333
1510270500,19.1991589333333
1510270800,27.7141082666667
1510271100,24.5105514666667
1510271400,23.436883986711
1510271700,28.3959951839465
1510272000,25.9825429333333
1510272300,24.2741578666667
1510272600,23.7938832
1510272900,23.9132074666667
1510273200,25.6413450666667
1510273500,22.9567269333333
1510273800,24.0846656
1510274100,25.9469338666667
1510274400,25.2172730666667
